"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "HTML", "Vue", "XML", "CSS", "comment", "blank", "total"
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\package-lock.json", "JSON", 0, 3083, 0, 0, 0, 0, 0, 0, 0, 1, 3084
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\package.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\App.vue", "Vue", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\api\auth.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\api\forgotPassword.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 3, 14, 101
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\api\index.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\api\register.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 3, 9, 97
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\assets\img\atlassian.svg", "XML", 0, 0, 0, 0, 0, 0, 38, 0, 1, 2, 41
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\assets\img\bg_auth.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\assets\img\bug_tracking.svg", "XML", 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 41
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\assets\img\devops.svg", "XML", 0, 0, 0, 0, 0, 0, 211, 0, 0, 1, 212
