"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "Vue", "SCSS", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\package-lock.json", "JSON", 3108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3109
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\App.vue", "Vue", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\api\auth.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\api\forgotPassword.ts", "TypeScript", 0, 0, 0, 99, 0, 0, 0, 0, 0, 3, 10, 112
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\api\getAllproject.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 4, 35
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\api\index.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 9, 47
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\api\register.ts", "TypeScript", 0, 0, 0, 103, 0, 0, 0, 0, 0, 3, 11, 117
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\atlassian.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 2, 41
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\bg_auth.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\bug_tracking.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 41
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\devops.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 1, 212
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\document.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\filter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\icon-workflow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\jira_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\kanban.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\project_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 29, 0, 1, 0, 30
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\img\scrum.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\assets\main.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 2, 9
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\Login\index.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\Login\index.vue", "Vue", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 18, 140
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\forgotPassword\ForgotForm\index.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\forgotPassword\ForgotForm\index.vue", "Vue", 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 23, 184
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\forgotPassword\Forgot\index.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\forgotPassword\Forgot\index.vue", "Vue", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 14, 108
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\forgotPassword\ValidForgot\index.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 7, 51
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\forgotPassword\ValidForgot\index.vue", "Vue", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 15, 140
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\regis\Regisform\index.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\regis\Regisform\index.vue", "Vue", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 19, 166
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\regis\Register\index.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\regis\Register\index.vue", "Vue", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 14, 111
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\regis\Valid\index.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 7, 51
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\auth\regis\Valid\index.vue", "Vue", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 130
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\board\OldBoard.vue", "Vue", 0, 0, 0, 0, 175, 0, 0, 0, 0, 4, 15, 194
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\board\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\board\index.vue", "Vue", 0, 0, 0, 0, 148, 0, 0, 0, 0, 3, 25, 176
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\mainpage\modal\FilterModal\index.vue", "Vue", 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 9, 42
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\mainpage\modal\ProjectModal\index.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 0, 2, 7, 60
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\mainpage\modal\TeamModal\index.vue", "Vue", 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 10, 46
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\mainpage\modal\YourWorkModal\index.vue", "Vue", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 15, 96
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\shared\ItemTask\OldItemTask.vue", "Vue", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 3, 79
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\shared\ItemTask\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\shared\ItemTask\index.vue", "Vue", 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 9, 77
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\shared\MainNavbar\index.vue", "Vue", 0, 0, 0, 0, 92, 0, 0, 0, 0, 2, 15, 109
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\shared\Navbar\index.vue", "Vue", 0, 0, 0, 0, 43, 0, 0, 0, 0, 2, 7, 52
"c:\Thuctaphe\GHTK\Jira Clone\JiraTypescript\src\components\shared\Sidebar\index.vue", "Vue", 0, 0, 0, 0, 149, 0, 0, 0, 0, 8, 19, 176
