"filename", "language", "JSON", "JSON with Comments", "JavaScript", "HTML", "TypeScript", "Vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\out\linecounter.json", "JSON", 830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 830
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\package-lock.json", "JSON", 3147, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3148
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\App.vue", "Vue", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\auth.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\commentTask.ts", "TypeScript", 0, 0, 0, 0, 142, 0, 0, 0, 0, 20, 162
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\forgotPassword.ts", "TypeScript", 0, 0, 0, 0, 99, 0, 0, 0, 3, 10, 112
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\index.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 6, 10, 52
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\profile.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 3, 7, 63
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\project.ts", "TypeScript", 0, 0, 0, 0, 228, 0, 0, 0, 22, 33, 283
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\projectUser.ts", "TypeScript", 0, 0, 0, 0, 172, 0, 0, 0, 10, 35, 217
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\register.ts", "TypeScript", 0, 0, 0, 0, 99, 0, 0, 0, 7, 11, 117
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\sprint.ts", "TypeScript", 0, 0, 0, 0, 132, 0, 0, 0, 1, 18, 151
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\task.ts", "TypeScript", 0, 0, 0, 0, 289, 0, 0, 0, 6, 45, 340
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\taskType.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 1, 11, 47
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\api\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 41, 7, 48
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\atlassian.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 1, 2, 41
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\bg_auth.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\bug_tracking.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 1, 41
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\cup.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 80, 0, 1, 81
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\devops.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 211, 0, 1, 212
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\document.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\filter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\icon-workflow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\icon_clock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 78
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\icon_like.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\jira_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\kanban.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\project_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 29, 1, 0, 30
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\scrum.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\img\search-no-results.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\assets\main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 5, 0, 2, 2, 9
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\Login\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\Login\index.vue", "Vue", 0, 0, 0, 0, 0, 128, 0, 0, 5, 19, 152
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\forgotPassword\ForgotForm\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\forgotPassword\ForgotForm\index.vue", "Vue", 0, 0, 0, 0, 0, 143, 0, 0, 5, 25, 173
